"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"Guataquí","Cundinamarca","512",0.7246,0.7246,0.5128,0.6019,0.618,0.4944,0.8477,1.0513,0.7039,1.0281,0.7303,0.0201,0,0.014,0.0382,0,0.9499,0,0.958,0.9172,0.9828,0.0301,0,0.028,0.0446,0.0172,0.0952,0.0488,0.0699,0.1592,0.0172
"Guasca","Cundinamarca","3254",0.8958,0.8943,0.5328,0.818,0.8547,0.5217,0.965,0.7993,0.9379,1.1201,0.8123,0.0312,0.0323,0.0225,0.0386,0.0346,0.8965,0.0161,0.9352,0.8464,0.8984,0.0723,0.0161,0.0424,0.115,0.067,0.0855,0.0699,0.0726,0.1213,0.0346
"Guaduas","Cundinamarca","5330",0.8113,0.8099,0.5023,0.7135,0.7533,0.538,0.9203,0.7258,0.8475,1.0441,0.9478,0.0285,0.0508,0.0282,0.0267,0.0237,0.8787,0.0466,0.9265,0.7994,0.929,0.0928,0.0466,0.0453,0.1739,0.0473,0.0816,0.0424,0.0787,0.106,0.0453
"Guachetá","Cundinamarca","3300",0.8073,0.807,0.4416,0.7331,0.7561,0.3996,0.9121,0.6309,0.8604,1.138,0.772,0.0162,0.0217,0.0099,0.0236,0.0127,0.9827,0,0.9901,0.9764,0.9777,0.0011,0,0,0,0.0096,0.0797,0.038,0.058,0.1238,0.0446
"Granada","Cundinamarca","1657",0.8497,0.8497,0.5899,0.9587,0.5927,0.3797,0.939,0.8849,1.1054,0.8327,0.7481,0.0316,0.0283,0.023,0.0403,0.0471,0.9684,0,0.977,0.9597,0.9529,0,0,0,0,0,0.1062,0.0283,0.0632,0.2062,0.0824
"Girardot","Cundinamarca","18604",0.9364,0.9349,0.6277,0.8756,0.8422,0.6278,1.0241,0.8219,1.0024,1.0751,1.0783,0.0405,0.0434,0.0385,0.0487,0.0262,0.9048,0,0.9325,0.8469,0.9326,0.0547,0,0.029,0.1044,0.0412,0.0907,0.0308,0.0985,0.1064,0.0609
"Gama","Cundinamarca","645",0.6791,0.6791,0.5319,0.6667,0.5575,0.5278,0.7426,0.8723,0.7311,0.7212,0.7593,0.0088,0.0244,0.0052,0.0069,0.013,0.9253,0.0244,0.9275,0.8889,0.974,0.0659,0.0244,0.0674,0.1042,0.013,0.0462,0.0488,0.0363,0.0694,0.026
"Gachetá","Cundinamarca","1540",0.8526,0.8526,0.5207,0.7378,0.795,0.6308,0.9721,0.9917,0.8116,1.113,1.0731,0.0257,0.025,0.0155,0.0343,0.0285,0.9019,0.2667,0.9362,0.8845,0.9634,0.0724,0.2667,0.0484,0.0812,0.0081,0.064,0.1333,0.0406,0.0903,0.0203
"Gachancipá","Cundinamarca","3928",1.0201,1.0155,0.7003,1.0296,0.8769,0.4849,1.1003,0.9944,1.1762,1.1487,0.8601,0.0448,0.0625,0.0364,0.0632,0.0116,0.8154,0.0134,0.8422,0.7113,0.9186,0.1398,0.0134,0.1214,0.2255,0.0698,0.1319,0.0313,0.1327,0.1958,0.0155
"Fusagasugá","Cundinamarca","26152",0.9081,0.9079,0.6375,0.8953,0.8129,0.5673,0.9915,0.8416,1.0094,1.0325,0.9363,0.0377,0.0363,0.0317,0.0498,0.0257,0.8961,0,0.923,0.8486,0.9081,0.0662,0,0.0453,0.1016,0.0662,0.0772,0.0137,0.0627,0.1187,0.0433
"Fúquene","Cundinamarca","991",1.559,1.559,0.8652,1.228,1.675,1.0745,1.6862,1.1685,1.4418,2.1438,1.7019,0.0122,0.0385,0.0099,0.0105,0.0115,0.9061,0.0096,0.9357,0.8651,0.9237,0.0817,0.0096,0.0544,0.1244,0.0649,0.1073,0.0769,0.0626,0.1754,0.0496
"Funza","Cundinamarca","19502",0.9172,0.9146,0.6739,0.8747,0.8303,0.6732,0.9763,0.8273,0.956,1.0065,1.0397,0.0178,0.0304,0.0134,0.0219,0.0145,0.8816,0.0139,0.9398,0.7855,0.8928,0.1007,0.0139,0.0468,0.1927,0.0927,0.0719,0.0393,0.0508,0.1206,0.0355
"Fosca","Cundinamarca","1335",0.8172,0.8172,0.5487,0.7266,0.7136,0.5535,0.9101,0.8673,0.8624,0.9682,0.9395,0.0212,0.0408,0.0145,0.0157,0.0414,0.9382,0,0.9419,0.9269,0.9408,0.0406,0,0.0436,0.0574,0.0178,0.053,0.0612,0.0581,0.0522,0.0355
"Fomeque","Cundinamarca","2495",0.7916,0.7916,0.45,0.7922,0.6396,0.473,0.8613,0.7909,0.9292,0.8426,0.7532,0.0393,0.0659,0.0254,0.0607,0.0226,0.9519,0,0.9644,0.9268,0.9774,0.0087,0,0.0102,0.0125,0,0.0709,0.0419,0.0722,0.095,0.0263
"Facatativá","Cundinamarca","30262",0.7787,0.777,0.618,0.7573,0.6931,0.4736,0.8454,0.7717,0.8494,0.8806,0.8026,0.0283,0.0334,0.0288,0.0307,0.0177,0.883,0.0158,0.9171,0.82,0.9078,0.0888,0.0158,0.0542,0.1493,0.0745,0.0891,0.0409,0.0813,0.1238,0.0474
"El Rosal","Cundinamarca","5168",0.983,0.9808,0.8247,1.0101,0.7821,0.4596,1.0505,1.0719,1.1694,1.0416,0.7587,0.0433,0.0567,0.0396,0.0494,0.0292,0.9203,0,0.9333,0.8876,0.938,0.0364,0,0.0272,0.063,0.0328,0.0964,0.0333,0.0927,0.1347,0.0438
"El Peñón","Cundinamarca","947",0.6272,0.6272,0.2432,0.5466,0.5528,0.4615,0.7012,0.5135,0.6618,0.7578,0.7832,0.0212,0,0.0112,0.0359,0.0235,0.9121,0.0263,0.9664,0.8296,0.9294,0.0668,0.0263,0.0224,0.1345,0.0471,0.0619,0.1053,0.0336,0.1121,0
"El Colegio","Cundinamarca","4475",0.8476,0.8476,0.5085,0.7551,0.7694,0.5047,0.943,0.7528,0.8934,1.0749,0.8869,0.0463,0.0577,0.0344,0.0681,0.0199,0.8822,0.0038,0.9319,0.8036,0.913,0.0715,0.0038,0.0337,0.1283,0.067,0.0967,0.05,0.0804,0.1565,0.0145
"Cucunubá","Cundinamarca","1796",0.8012,0.8012,0.3222,0.649,0.8723,0.5703,0.8803,0.6167,0.7537,1.1423,0.9063,0.0382,0.0541,0.0132,0.0597,0.0423,0.9513,0.027,0.977,0.9283,0.9577,0.0105,0.027,0.0099,0.0119,0,0.0698,0.036,0.0395,0.1297,0.0094
"Cota","Cundinamarca","7103",1.785,1.7743,0.8657,1.6895,1.7397,1.4371,1.861,1.1869,1.8572,2.007,1.8848,0.0295,0.029,0.0235,0.0314,0.0439,0.9129,0.0097,0.9413,0.8693,0.9049,0.0576,0.0097,0.0352,0.0993,0.0512,0.0847,0.0483,0.0767,0.1196,0.0439
"Cogua","Cundinamarca","4730",0.8903,0.8896,0.5174,0.826,0.8005,0.5165,0.9765,0.8209,0.9657,1.0904,0.8575,0.0274,0.0159,0.0179,0.035,0.0418,0.9711,0,0.9815,0.9619,0.9582,0.0014,0,7e-04,0.003,0,0.1157,0.0438,0.0749,0.1932,0.0649
"Chocontá","Cundinamarca","4989",0.7507,0.7507,0.5383,0.7207,0.6646,0.355,0.8326,0.8134,0.8347,0.9074,0.6855,0.018,0.0493,0.0095,0.0228,0.0135,0.9191,0.0176,0.9627,0.8477,0.9662,0.063,0.0176,0.0278,0.1295,0.0203,0.093,0.0456,0.0607,0.1622,0.0338
"Choachí","Cundinamarca","2149",0.8125,0.8125,0.5329,0.744,0.6995,0.655,0.9521,0.7126,0.8532,0.9795,1.2399,0.0175,0.0756,0.0134,0.0134,0.0128,0.9527,0.042,0.9545,0.953,0.9744,0.0298,0.042,0.0321,0.0336,0.0128,0.0462,0.0588,0.0495,0.0537,0.0192
"Chipaque","Cundinamarca","2017",0.759,0.759,0.3807,0.6915,0.7258,0.4068,0.8775,0.6591,0.7916,1.0455,0.882,0.0194,0.0345,0.025,0.0132,0.0103,0.9756,0,0.9721,0.9786,0.9845,0.005,0,0.0029,0.0082,0.0052,0.1026,0.0345,0.075,0.1727,0.0206
"Chía","Cundinamarca","25572",1.083,1.0703,0.6402,1.03,0.9713,0.6796,1.1718,0.9699,1.1671,1.234,1.1481,0.0336,0.0298,0.0335,0.0383,0.0234,0.8851,0,0.9089,0.8324,0.9142,0.0813,0,0.0576,0.1292,0.0624,0.0812,0.0243,0.0725,0.1203,0.0309
"Chaguaní","Cundinamarca","736",0.6155,0.6155,0.3559,0.5639,0.5382,0.4228,0.6943,0.5254,0.6557,0.7631,0.7317,0.0538,0.0323,0.0553,0.0604,0.0423,0.9462,0,0.9447,0.9396,0.9577,0,0,0,0,0,0.0745,0.0645,0.0452,0.1209,0.0423
"Carmen de Carupa","Cundinamarca","1670",0.6593,0.6593,0.4853,0.5894,0.6661,0.4364,0.7006,0.6029,0.6609,0.8071,0.6327,0.0204,0.0244,0.0152,0.0211,0.0318,0.9796,0,0.9848,0.9789,0.9682,0,0,0,0,0,0.0718,0,0.0519,0.1288,0.0127
"Caqueza","Cundinamarca","3566",0.802,0.8012,0.4452,0.7569,0.7028,0.4637,0.8929,0.7968,0.8863,0.9879,0.7681,0.024,0.0369,0.0176,0.0318,0.0158,0.9073,0,0.9127,0.8756,0.9472,0.0687,0,0.0697,0.0926,0.0369,0.07,0.0138,0.0897,0.073,0.029
"Caparrapí","Cundinamarca","2379",0.7142,0.7142,0.5,0.6533,0.6227,0.5038,0.8012,0.691,0.759,0.8452,0.8622,0.0342,0.0569,0.0164,0.0538,0.0283,0.907,0.0081,0.9345,0.8662,0.9117,0.0588,0.0081,0.0491,0.0799,0.0601,0.0639,0.0163,0.0396,0.1109,0.0459
"Cajicá","Cundinamarca","16982",0.8594,0.8477,0.4952,0.7939,0.7758,0.5501,0.9147,0.7562,0.9137,0.9869,0.8559,0.0329,0.0469,0.0283,0.0421,0.0159,0.9061,0,0.9362,0.8464,0.9418,0.061,0,0.0356,0.1114,0.0422,0.0766,0.0271,0.0653,0.1193,0.0263
"Cachipay","Cundinamarca","1888",0.6748,0.6748,0.5597,0.6395,0.5556,0.3722,0.7844,0.7547,0.7409,0.8551,0.7702,0.0527,0.0495,0.0205,0.0882,0.0719,0.9319,0.0099,0.9692,0.8824,0.9281,0.0154,0.0099,0.0103,0.0294,0,0.0999,0.1386,0.0575,0.1684,0.036
"Cabrera","Cundinamarca","1175",0.6613,0.6613,0.4369,0.5661,0.6052,0.5434,0.7328,0.534,0.6381,0.8312,0.9133,0.0138,0.0364,0.0184,0.0071,0.0073,0.9375,0.0182,0.9663,0.8972,0.9489,0.0488,0.0182,0.0153,0.0957,0.0438,0.0225,0,0.0337,0.0213,0.0073
"Bojacá","Cundinamarca","2318",0.7752,0.7752,0.4451,0.734,0.7217,0.4499,0.8399,0.6154,0.8617,0.9327,0.7115,0.0236,0.0179,0.0165,0.0373,0.0133,0.9257,0,0.9671,0.8559,0.9467,0.0507,0,0.0165,0.1068,0.04,0.0785,0.0268,0.0439,0.1559,0.0133
"Bituima","Cundinamarca","398",1.0276,1.0276,0.6471,0.7955,1.064,0.7619,1.0779,0.7353,0.9375,1.32,1.1746,0.021,0.04,0.0061,0.0303,0.027,0.9114,0,0.9515,0.8788,0.8784,0.0676,0,0.0424,0.0909,0.0946,0.0699,0,0.0364,0.1333,0.027
"Beltrán","Cundinamarca","359",0.8524,0.8524,0.3448,0.8067,0.7083,0.4167,0.961,0.6552,0.9733,1.0917,0.8167,0.0439,0.1579,0.0342,0.0345,0.0526,0.9561,0,0.9658,0.9655,0.9474,0,0,0,0,0,0.0439,0.0526,0.0548,0.0431,0
"Arbeláez","Cundinamarca","1937",0.8116,0.8116,0.604,0.7424,0.7376,0.4865,0.9091,0.9463,0.8763,0.9593,0.8709,0.0314,0.0846,0.0287,0.023,0.0314,0.9444,0.0077,0.9349,0.9539,0.9647,0.0242,0.0077,0.0363,0.023,0.0039,0.0647,0.0231,0.0696,0.0872,0.0196
"Anolaima","Cundinamarca","2605",0.9225,0.9159,0.5885,0.8877,0.7645,0.4687,1.0338,0.8947,1.0387,1.1229,0.9072,0.0405,0.0299,0.0306,0.056,0.0395,0.9084,0.0419,0.9408,0.8562,0.9243,0.0511,0.0419,0.0286,0.0878,0.0362,0.1057,0.0299,0.072,0.187,0.0493
"Anapoima","Cundinamarca","2699",0.9155,0.9144,0.6407,0.836,0.809,0.4853,0.9978,0.8745,0.9807,1.1424,0.8172,0.0282,0.0361,0.0171,0.0449,0.013,0.9658,0,0.9829,0.9424,0.9773,0.006,0,0,0.0127,0.0097,0.0791,0.0843,0.0753,0.106,0.013
"Albán","Cundinamarca","1249",0.723,0.723,0.3738,0.6797,0.6448,0.3288,0.8519,0.757,0.8164,1.0024,0.6986,0.0729,0.2593,0.0268,0.0849,0.0678,0.8696,0,0.961,0.8,0.8559,0.0575,0,0.0122,0.1151,0.0763,0.1047,0.0617,0.0488,0.2,0.0339
"Agua de Dios","Cundinamarca","1949",0.7373,0.7373,0.383,0.7452,0.654,0.4282,0.8127,0.5674,0.8675,0.8416,0.7302,0.0367,0.087,0.0288,0.0432,0.0268,0.9034,0,0.9534,0.859,0.9063,0.0599,0,0.0177,0.0977,0.067,0.1069,0,0.1197,0.1316,0.0446
"Valencia","Córdoba","8588",0.832,0.8316,0.4763,0.752,0.7095,0.5094,0.8974,0.6708,0.9336,0.9442,0.8149,0.0451,0.0251,0.0293,0.0597,0.0632,0.8901,0.0046,0.9186,0.8425,0.8921,0.0647,0.0046,0.052,0.0978,0.0447,0.1043,0.0297,0.1104,0.1249,0.0657
"Tuchín","Córdoba","14408",0.6106,0.6103,0.259,0.5492,0.5691,0.3232,0.6517,0.3893,0.6891,0.7251,0.5505,0.0307,0.0329,0.0308,0.0259,0.0421,0.9393,0,0.9298,0.9461,0.943,0.03,0,0.0394,0.028,0.0149,0.0988,0.1006,0.1031,0.1076,0.0586
"Tierralta","Córdoba","24677",0.953,0.9524,0.4848,0.8831,0.7774,0.5074,1.0764,0.7522,1.1267,1.1439,0.9804,0.0578,0.0392,0.0368,0.078,0.0897,0.8867,0.0026,0.9126,0.8538,0.8454,0.0555,0.0026,0.0506,0.0682,0.0648,0.0794,0.0352,0.0887,0.089,0.0386
"San Pelayo","Córdoba","9545",0.696,0.6955,0.2855,0.6476,0.6109,0.4073,0.7565,0.4046,0.7896,0.84,0.6721,0.0318,0.0246,0.0178,0.0498,0.0269,0.8743,0,0.9204,0.8228,0.8497,0.0939,0,0.0618,0.1274,0.1234,0.1125,0.0702,0.0752,0.1772,0.064
"San José de Uré","Córdoba","3843",0.6781,0.6779,0.3455,0.6102,0.5582,0.3306,0.7531,0.6727,0.7978,0.8021,0.574,0.0854,0.0481,0.057,0.1125,0.1318,0.8581,0.0192,0.8797,0.8263,0.8281,0.0565,0.0192,0.0633,0.0612,0.0401,0.1165,0.1298,0.1481,0.0938,0.0602
"San Carlos","Córdoba","5850",0.7518,0.7509,0.3404,0.7297,0.6243,0.4031,0.8152,0.4574,0.9073,0.8429,0.7015,0.0404,0.023,0.0242,0.0648,0.0351,0.8949,0,0.9162,0.8496,0.9191,0.0647,0,0.0596,0.0856,0.0458,0.1029,0.1149,0.1046,0.1235,0.0427
"San Bernardo del Viento","Córdoba","8461",0.7714,0.7709,0.3269,0.7206,0.6107,0.4007,0.8413,0.5148,0.9263,0.8727,0.721,0.0233,0.0271,0.0141,0.0285,0.0392,0.8946,0.003,0.9085,0.8661,0.895,0.0821,0.003,0.0774,0.1054,0.0657,0.1217,0.1114,0.1238,0.1467,0.0541
"San Antero","Córdoba","7731",0.8306,0.8296,0.4873,0.8275,0.6979,0.3992,0.9009,0.6852,0.9812,0.9363,0.7315,0.0293,0.0125,0.0085,0.0447,0.0688,0.894,0.0075,0.9337,0.8322,0.8818,0.0767,0.0075,0.0578,0.1231,0.0495,0.1317,0.355,0.084,0.1814,0.0567
"San Andrés Sotavento","Córdoba","11458",0.7809,0.7804,0.3277,0.6881,0.7532,0.5122,0.8333,0.4086,0.831,0.9699,0.7946,0.0344,0.0409,0.0169,0.05,0.0433,0.8969,0,0.9243,0.8598,0.8948,0.0687,0,0.0588,0.0902,0.0619,0.0874,0.0817,0.0846,0.1032,0.0575
"Sahagún","Córdoba","21752",0.8509,0.8508,0.5253,0.8044,0.7568,0.5377,0.9338,0.7991,0.9472,0.9677,0.8963,0.0281,0.0322,0.0199,0.0359,0.0308,0.8878,0,0.9231,0.8381,0.871,0.0841,0,0.057,0.126,0.0982,0.0883,0.047,0.0811,0.1181,0.0577
"Purísima","Córdoba","3677",0.8382,0.8371,0.5065,0.784,0.7555,0.5049,0.9268,0.5882,0.9079,1.0509,0.8967,0.0405,0.0377,0.0192,0.063,0.0409,0.8571,0.0063,0.9178,0.8134,0.7778,0.1024,0.0063,0.063,0.1236,0.1813,0.0887,0.1698,0.0714,0.1115,0.0526
"Puerto Libertador","Córdoba","11150",0.8365,0.8361,0.4029,0.7667,0.723,0.3848,0.9135,0.5866,0.9704,1.0251,0.701,0.0534,0.0513,0.0268,0.0831,0.0688,0.8636,0,0.9044,0.801,0.8556,0.083,0,0.0688,0.1159,0.0756,0.1038,0.0418,0.1124,0.1175,0.0521
"Puerto Escondido","Córdoba","5690",0.7721,0.771,0.3995,0.7122,0.6199,0.3438,0.8661,0.5959,0.9306,0.9429,0.6761,0.0353,0.0606,0.0128,0.0486,0.0637,0.8977,0.0038,0.93,0.8609,0.8773,0.067,0.0038,0.0572,0.0906,0.059,0.1138,0.1402,0.0901,0.1517,0.076
"Pueblo Nuevo","Córdoba","8094",0.692,0.6914,0.366,0.6628,0.5737,0.3817,0.7529,0.5125,0.8157,0.7797,0.6579,0.0352,0.0244,0.0095,0.0636,0.0515,0.914,0,0.9488,0.8632,0.9039,0.0508,0,0.0417,0.0731,0.0446,0.0893,0.079,0.08,0.1159,0.0584
"Planeta Rica","Córdoba","14206",0.9138,0.9118,0.4869,0.843,0.7764,0.602,1.0233,0.8191,1.0066,1.0559,1.093,0.0167,0.01,0.0103,0.0228,0.0233,0.9507,0.0062,0.9713,0.9275,0.9322,0.0326,0.0062,0.0184,0.0497,0.0445,0.0785,0.1208,0.0666,0.1072,0.0265
"Moñitos","Córdoba","7396",0.7561,0.7554,0.3552,0.706,0.6016,0.4171,0.8334,0.55,0.8906,0.8608,0.7683,0.0295,0.0225,0.0104,0.0449,0.0544,0.8814,0.0129,0.9106,0.8374,0.8676,0.0891,0.0129,0.079,0.1177,0.078,0.1106,0.1608,0.0916,0.1404,0.078
"Montelíbano","Córdoba","20057",0.8986,0.8956,0.5146,0.8102,0.7809,0.5064,0.9945,0.7923,0.9915,1.0804,0.9247,0.0343,0.0446,0.0282,0.0412,0.0295,0.9071,0.002,0.9333,0.8653,0.9203,0.0586,0.002,0.0384,0.0935,0.0502,0.106,0.131,0.1022,0.1287,0.0424
"Momil","Córdoba","4131",0.6887,0.6885,0.5048,0.672,0.6027,0.3809,0.7451,0.6698,0.7818,0.7819,0.6205,0.0133,0.022,0.0025,0.0234,0.0147,0.9183,0,0.9574,0.8875,0.8578,0.0683,0,0.0401,0.089,0.1275,0.0694,0.0549,0.0744,0.0769,0.0417
"Los Córdobas","Córdoba","4495",0.7539,0.7533,0.4129,0.7184,0.6187,0.332,0.838,0.514,0.9074,0.9191,0.6547,0.0487,0.0245,0.0254,0.0728,0.0672,0.897,0,0.9206,0.8624,0.8887,0.0543,0,0.0539,0.0648,0.0441,0.1008,0.0552,0.0911,0.1376,0.0441
"Lorica","Córdoba","22709",0.9633,0.9625,0.545,0.9044,0.8515,0.6129,1.0605,0.8872,1.0587,1.1214,1.0274,0.0403,0.0446,0.0253,0.0573,0.0386,0.8971,0,0.9268,0.8513,0.9008,0.0627,0,0.0479,0.0914,0.0606,0.0764,0.054,0.0666,0.1049,0.0445
"La Apartada","Córdoba","3477",0.8162,0.8148,0.3879,0.7149,0.683,0.4362,0.887,0.5658,0.9256,0.9897,0.7397,0.0461,0.0325,0.0427,0.061,0.0199,0.8883,0.013,0.8987,0.8441,0.9553,0.0656,0.013,0.0586,0.0949,0.0248,0.1176,0.1883,0.1226,0.1263,0.0496
"Cotorra","Córdoba","3708",0.7273,0.7268,0.3219,0.7246,0.5942,0.3715,0.7826,0.411,0.8814,0.8323,0.6223,0.0253,0.0171,0.0167,0.0384,0.0224,0.8612,0.0085,0.9137,0.7774,0.8731,0.1135,0.0085,0.0696,0.1843,0.1045,0.1145,0.1368,0.0772,0.1679,0.092
"Ciénaga de Oro","Córdoba","12157",0.8904,0.8898,0.4676,0.8174,0.7786,0.5123,0.9601,0.6065,1.0084,1.0442,0.8398,0.0428,0.0332,0.0243,0.06,0.0565,0.8759,0.0221,0.9185,0.8205,0.8691,0.0813,0.0221,0.0572,0.1195,0.0745,0.1184,0.1476,0.096,0.1524,0.0883
"Chinú","Córdoba","9053",0.963,0.9618,0.4544,0.8914,0.8424,0.558,1.0477,0.6163,1.0902,1.1319,0.9836,0.0315,0.0378,0.023,0.0375,0.0401,0.909,0.0029,0.9317,0.8788,0.9042,0.0595,0.0029,0.0454,0.0837,0.0557,0.1025,0.2151,0.0915,0.1247,0.0467
"Chimá","Córdoba","3449",0.6666,0.666,0.3232,0.6371,0.5372,0.3788,0.7069,0.4411,0.7962,0.7255,0.5758,0.0287,0,0.0161,0.0466,0.0351,0.9356,0,0.9527,0.8987,0.9503,0.0357,0,0.0312,0.0547,0.0146,0.0947,0.0172,0.1044,0.1094,0.0526
"Cereté","Córdoba","20386",0.8806,0.8791,0.4927,0.8194,0.7838,0.5505,0.9559,0.6086,0.9639,1.0366,0.9427,0.0317,0.0329,0.0176,0.0474,0.0318,0.8973,0.0057,0.929,0.8528,0.8995,0.071,0.0057,0.0535,0.0998,0.0687,0.1089,0.1602,0.0825,0.1507,0.0649
"Canalete","Córdoba","3733",0.9646,0.9646,0.5,0.8745,0.8371,0.4121,1.0627,0.8299,1.1557,1.1369,0.785,0.0341,0.0041,0.0173,0.0519,0.0591,0.8848,0,0.8981,0.8443,0.9008,0.0811,0,0.0846,0.1038,0.0401,0.1346,0.0287,0.1342,0.1709,0.0802
"Buenavista","Córdoba","5112",0.8089,0.8087,0.4925,0.7156,0.6477,0.4506,0.9632,0.6816,0.9165,1.0023,1.1329,0.0381,0.0328,0.0262,0.0527,0.0398,0.8958,0.0182,0.9027,0.872,0.9121,0.0662,0.0182,0.071,0.0753,0.0481,0.0965,0.1679,0.104,0.0991,0.0332
"Ayapel","Córdoba","11657",0.8609,0.8601,0.5021,0.7725,0.7142,0.4135,0.952,0.8107,0.9976,1.0228,0.7585,0.033,0.0603,0.0245,0.0405,0.0263,0.8992,0.0201,0.9066,0.8768,0.9287,0.0678,0.0201,0.069,0.0826,0.045,0.1021,0.1381,0.1074,0.1095,0.0281
"Montería","Córdoba","100111",0.9153,0.9135,0.547,0.8925,0.7939,0.5083,1.0037,0.8855,1.0543,1.0244,0.8956,0.0298,0.0445,0.0197,0.0418,0.0238,0.8709,0.005,0.9075,0.8067,0.878,0.0993,0.005,0.0728,0.1515,0.0982,0.1063,0.0577,0.0963,0.1442,0.0602
"Tamalameque","Cesar","4305",0.8818,0.8818,0.5809,0.8658,0.6628,0.3832,0.9575,0.9451,1.1022,0.8992,0.7068,0.0425,0.0703,0.0389,0.0459,0.0289,0.906,0,0.9136,0.8718,0.9511,0.0515,0,0.0475,0.0823,0.02,0.0828,0.0428,0.094,0.0981,0.02
"San Martín","Cesar","6868",0.7886,0.788,0.5341,0.8026,0.6316,0.3012,0.8575,0.9134,0.9852,0.8388,0.5568,0.0338,0.0378,0.032,0.0366,0.0301,0.8976,0.0089,0.9082,0.8649,0.9114,0.0685,0.0089,0.0598,0.0985,0.0585,0.104,0.0178,0.1296,0.1119,0.0318
"San Diego","Cesar","4871",0.883,0.8811,0.599,0.8351,0.7263,0.314,0.9661,0.9315,1.0704,1.0043,0.6268,0.0653,0.0336,0.0699,0.0791,0.0215,0.8711,0,0.8815,0.8274,0.9019,0.0636,0,0.0486,0.0935,0.0766,0.1061,0.0214,0.1041,0.1451,0.0455
"San Alberto","Cesar","6578",0.785,0.7844,0.5371,0.79,0.6176,0.3264,0.8522,0.8427,0.9713,0.8332,0.5842,0.0595,0.0525,0.0481,0.0878,0.0301,0.8468,0,0.8803,0.7549,0.9002,0.0937,0,0.0717,0.1572,0.0697,0.1166,0.0275,0.1292,0.1413,0.0508
"La Paz","Cesar","7521",0.8749,0.8746,0.5659,0.8584,0.7025,0.4077,0.9594,1.0455,1.0692,0.9289,0.6953,0.063,0.0816,0.0536,0.0812,0.0357,0.886,0,0.9194,0.828,0.8736,0.051,0,0.027,0.0909,0.0908,0.0867,0.0585,0.091,0.1026,0.0405
"Río de Oro","Cesar","3694",0.8121,0.8121,0.5366,0.8179,0.6598,0.3506,0.8812,0.9338,1.0026,0.8644,0.6022,0.0773,0.0746,0.0773,0.089,0.0418,0.8849,0,0.8871,0.8606,0.9224,0.0377,0,0.0357,0.0505,0.0358,0.1035,0.0224,0.0885,0.1505,0.0836
"Pueblo Bello","Cesar","9230",0.7531,0.7531,0.3255,0.7369,0.4423,0.1822,0.8113,0.5527,1.1178,0.6672,0.3546,0.0434,0.0657,0.0355,0.0563,0.0465,0.8733,0.0021,0.8862,0.8305,0.8606,0.0833,0.0021,0.0784,0.1132,0.0929,0.1247,0.0636,0.1339,0.1312,0.0686
"Pelaya","Cesar","5659",0.8406,0.8406,0.58,0.7922,0.7182,0.4233,0.9166,0.8267,0.9602,0.9667,0.7451,0.0541,0.0292,0.0506,0.0685,0.0401,0.8576,0,0.8664,0.8096,0.8972,0.0883,0,0.083,0.1219,0.0627,0.0712,0.0058,0.0902,0.0841,0.0035
"Pailitas","Cesar","4884",0.7518,0.7516,0.561,0.7274,0.6356,0.4031,0.7989,0.9431,0.8769,0.7668,0.6125,0.0347,0.0433,0.0246,0.0389,0.0521,0.9019,0,0.9326,0.8504,0.8959,0.0634,0,0.0427,0.1107,0.0521,0.0668,0.04,0.0784,0.0803,0.0108
"Manaure","Cesar","2614",0.9342,0.9342,0.5561,0.8107,0.8603,0.4736,1.0788,1.0867,0.9981,1.1574,1.1079,0.0384,0.0516,0.0321,0.0473,0.0224,0.9089,0,0.9349,0.8601,0.9521,0.0527,0,0.033,0.0926,0.0256,0.0961,0.0141,0.0575,0.1596,0.0767
"La Jagua de Ibirico","Cesar","13273",0.7842,0.7839,0.4423,0.7579,0.6452,0.3305,0.859,0.7829,0.956,0.8875,0.5832,0.0488,0.0698,0.0461,0.0529,0.0342,0.8817,0,0.8942,0.8492,0.9043,0.0694,0,0.0597,0.0979,0.0615,0.0893,0.0399,0.09,0.1199,0.0202
