"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"Confines","Santander","631",0.9477,0.775,0.629,0.7061,0.7602,0.2234,0.8526,0.8871,0.8387,1.0408,0.4787,0.0322,0.0545,0.0256,0.0226,0.0968,0.9678,0,0.9744,0.9774,0.9032,0,0,0,0,0,0.0684,0.0364,0.0214,0.1469,0.0323
"Contratación","Santander","627",0.7903,0.9856,0.6667,0.924,0.9227,0.5089,1.0813,0.8889,1.036,1.2545,0.9196,0.02,0.05,0.0116,0.0192,0.0326,0.8786,0,0.9421,0.7846,0.9348,0.1014,0,0.0463,0.1962,0.0326,0,0,0,0,0
"Coromoro","Santander","1016",0.5813,0.9006,0.6207,0.9184,0.7791,0.4061,1.0098,0.9885,1.0536,1.0657,0.7939,0.0052,0.0233,0.0044,0.0032,0,0.9916,0,0.9889,0.9968,1,0.0031,0,0.0066,0,0,0.0052,0,0.0088,0.0032,0
"Curití","Santander","2468",0.8835,0.8173,0.4378,0.7615,0.7443,0.5133,0.9254,0.8159,0.8993,1.0374,0.8193,0.0122,0.0061,0.0065,0.0159,0.0246,0.9322,0.0122,0.9619,0.8823,0.9404,0.0556,0.0122,0.0316,0.1019,0.0351,0.0075,0,0.0109,0.0079,0
"El Carmen de Chucurí","Santander","4671",0.7189,0.6427,0.5408,0.6373,0.5349,0.2446,0.7258,0.7826,0.753,0.7995,0.4855,0.0212,0.0297,0.0168,0.0279,0.0108,0.9121,0.0037,0.937,0.8519,0.9568,0.0667,0.0037,0.0462,0.1202,0.0324,0.0017,0,0.0021,0.0019,0
"El Guacamayo","Santander","420",0.8965,0.7833,0.5517,0.7202,0.76,0.4384,0.85,0.8621,0.7798,0.9933,0.7123,0.014,0.08,0.0076,0.0134,0,0.9216,0,0.9466,0.8926,0.9423,0.0644,0,0.0458,0.094,0.0577,0.0168,0,0.0153,0.0268,0
"El Peñón","Santander","1311",0.664,0.6362,0.2887,0.7059,0.4794,0.2434,0.7162,0.6082,0.8748,0.6486,0.531,0.0364,0.1017,0.026,0.0467,0.0196,0.9249,0,0.9262,0.9066,0.9804,0.0387,0,0.0477,0.0467,0,0,0,0,0,0
"El Playón","Santander","3046",1.037,0.8641,0.6971,0.8972,0.6741,0.3193,0.957,1.0373,1.0699,0.9653,0.6348,0.0448,0.068,0.036,0.0517,0.0443,0.8655,0,0.9362,0.7393,0.8708,0.0897,0,0.0278,0.209,0.0849,0.0182,0,0.012,0.0371,0.0037
"Encino","Santander","570",0.8102,0.6439,0.3913,0.7029,0.5313,0.2366,0.7211,0.7826,0.8243,0.6719,0.5269,0.0447,0.1111,0.0203,0.0684,0.0333,0.9316,0,0.9442,0.9145,0.9667,0.0237,0,0.0355,0.0171,0,0.0237,0,0.0457,0,0
"Enciso","Santander","625",1.0662,1.0048,0.551,0.92,0.9065,0.6607,1.1776,0.7347,1.04,1.3318,1.3839,0.0045,0,0.0038,0.0079,0,0.9265,0,0.95,0.874,0.9658,0.069,0,0.0462,0.1181,0.0342,0.009,0,0.0115,0.0039,0.0171
"Florián","Santander","1218",0.6963,0.798,0.5904,0.6791,0.7153,0.385,0.922,0.9277,0.8427,1.1139,0.7042,0.0068,0.013,0.0074,0.0072,0,0.9622,0,0.9558,0.9614,0.9699,0.031,0,0.0369,0.0313,0.0301,0.0203,0,0.0147,0.0361,0
"Floridablanca","Santander","49007",0.9789,0.895,0.674,0.9018,0.8001,0.4789,0.9701,0.9132,1.0119,1.0146,0.8179,0.0339,0.0313,0.0267,0.0438,0.0293,0.8903,0.001,0.9269,0.8345,0.8972,0.0758,0.001,0.0464,0.1218,0.0735,0.013,0.0021,0.0105,0.0198,0.0065
"Galán","Santander","540",1.1625,0.9407,0.5745,0.9654,0.791,0.5529,1.1241,0.9787,1.0866,1.1921,1.1647,0.021,0.0217,0.012,0.0305,0.0317,0.9542,0,0.9602,0.9329,0.9683,0.0248,0,0.0279,0.0366,0,0.0229,0,0.0159,0.0488,0
"Gambita","Santander","865",0.7178,0.8763,0.5833,0.9123,0.7024,0.2734,0.9931,0.9444,1.0986,1.0208,0.6835,0.0302,0.0441,0.0274,0.0341,0.0164,0.8791,0,0.8828,0.8485,0.9016,0.0907,0,0.0898,0.1174,0.082,0.0126,0.0147,0.02,0.0038,0
"Girón","Santander","29769",0.7342,0.925,0.676,0.9567,0.7856,0.4001,1.0189,1.0206,1.1179,1.0487,0.7267,0.0352,0.0476,0.0265,0.0455,0.028,0.8814,0.0073,0.9201,0.8145,0.8989,0.0834,0.0073,0.0534,0.14,0.073,0.0386,0.0084,0.0328,0.0581,0.0189
"Guaca","Santander","1197",0.8749,0.8588,0.6774,0.8834,0.622,0.361,1.015,0.9032,1.0409,1.1195,0.7951,0.0217,0.0238,0.0157,0.0305,0.0215,0.855,0.0238,0.8841,0.7744,0.8925,0.1233,0.0238,0.1002,0.1951,0.086,0.0128,0.0238,0.0177,0.0061,0
"Guadalupe","Santander","878",0.874,1.0273,0.8136,0.9308,1.0094,0.6948,1.1287,1.1864,1.0288,1.2201,1.1429,0.0159,0.0286,0.0056,0.024,0.0139,0.9545,0,0.9496,0.9467,0.9792,0.0296,0,0.0448,0.0293,0.0069,0,0,0,0,0
"Guapotá","Santander","466",0.9145,0.8262,0.4857,0.8385,0.6358,0.4935,0.9142,0.7714,1,0.9198,0.7532,0.0302,0,0.0156,0.0472,0.0577,0.8719,0,0.9583,0.7244,0.8462,0.098,0,0.026,0.2283,0.0962,0.0377,0,0.026,0.0551,0.0577
"Guavatá","Santander","669",0.5951,0.6218,0.4186,0.7451,0.343,0.4186,0.7235,0.8605,0.8549,0.5496,0.7442,0.0044,0,0,0.0175,0,0.9556,0,0.9817,0.9211,0.9136,0.04,0,0.0183,0.0614,0.0864,0.02,0.0541,0.0138,0.0351,0
"Güepsa","Santander","935",1.1402,0.8524,0.4648,0.7426,0.8442,0.4941,0.9465,0.8732,0.874,1.0966,0.8529,0.0228,0.0339,0.0192,0.0271,0.0156,0.8654,0.1017,0.9457,0.7892,0.8672,0.1118,0.1017,0.0351,0.1837,0.1172,0,0,0,0,0
"Hato","Santander","462",0.9662,0.8658,0.5,0.8263,0.7532,0.3462,1.0238,0.9167,0.9842,1.2405,0.7308,0.0218,0,0.0214,0.0267,0.0238,0.8883,0,0.9198,0.8,0.9762,0.0898,0,0.0588,0.1733,0,0.0146,0,0.0321,0,0
"Jesús María","Santander","629",0.8813,0.8967,0.6585,0.7895,0.7841,0.6754,0.9921,0.9024,0.9312,1.0308,1.0789,0.0116,0,0.0043,0.0092,0.0331,0.9107,0,0.9391,0.871,0.9008,0.0777,0,0.0565,0.1198,0.0661,0.005,0,0.0043,0.0046,0.0083
"Jordán","Santander","271",1.2559,0.9779,0.5652,0.8584,0.956,0.3864,1.0923,0.913,1.0973,1.2857,0.7727,0.0366,0.0476,0.0081,0.066,0.0455,0.8462,0.0952,0.9032,0.7642,0.9091,0.1172,0.0952,0.0887,0.1698,0.0455,0.0037,0,0.0081,0,0
"La Belleza","Santander","1271",0.6737,0.9599,0.7742,0.9449,0.8072,0.433,1.0889,1.2796,1.1398,1.148,0.7768,0.0161,0.0336,0.0052,0.0282,0.0069,0.8865,0,0.962,0.7787,0.8621,0.0974,0,0.0328,0.1931,0.131,0.0107,0.0084,0.019,0.0022,0.0069
"Landázuri","Santander","2192",0.6517,1.0091,0.5305,1.0392,0.8436,0.464,1.0985,1.0244,1.2545,1.0999,0.7573,0.0193,0.0195,0.013,0.0254,0.0269,0.9346,0.0065,0.9676,0.8855,0.9231,0.0461,0.0065,0.0195,0.0891,0.05,0,0,0,0,0
"La Paz","Santander","907",0.7012,0.7453,0.5806,0.7423,0.6116,0.4224,0.8104,0.6613,0.8796,0.844,0.646,0.0241,0,0.0127,0.04,0.03,0.9319,0,0.949,0.892,0.95,0.044,0,0.0382,0.068,0.02,0.027,0,0.0127,0.056,0.01
"Lebríja","Santander","8356",0.8869,0.9114,0.5824,0.8877,0.8326,0.4483,1.0285,0.9324,1.0349,1.1417,0.8364,0.0434,0.0494,0.0263,0.0592,0.0506,0.8706,0,0.9254,0.8157,0.7987,0.086,0,0.0483,0.1251,0.1506,0.0078,0,0.0036,0.0116,0.0156
"Los Santos","Santander","2958",0.9944,0.8411,0.5388,0.8065,0.7772,0.4807,0.9814,0.7061,1.0675,1.0484,0.7678,0.0313,0.0231,0.015,0.0461,0.0483,0.9479,0,0.9771,0.9172,0.9215,0.0208,0,0.0079,0.0367,0.0302,0.034,0,0.0203,0.0577,0.0302
"Macaravita","Santander","447",1.0302,0.915,0.5588,0.8462,0.7871,0.8684,1.1275,0.6765,0.9505,1.1742,1.6579,0.0096,0.0435,0,0.0147,0.0119,0.9111,0,0.9711,0.8456,0.881,0.0793,0,0.0289,0.1397,0.1071,0.012,0,0.0116,0.0221,0
"Málaga","Santander","4152",1.2183,0.9942,0.76,0.9168,0.883,0.5958,1.1903,1.06,1.0306,1.3395,1.2985,0.0221,0.0101,0.0132,0.0303,0.0286,0.8712,0.0067,0.9509,0.7933,0.8231,0.1067,0.0067,0.0359,0.1764,0.1483,0.0057,0,0.003,0.0083,0.0082
"Matanza","Santander","897",1.138,1.2965,1.1467,1.2884,1.0903,0.5526,1.4281,1.4933,1.4933,1.505,1.0855,0.0236,0.0182,0.015,0.0371,0.0221,0.913,0,0.9401,0.854,0.9265,0.0633,0,0.0449,0.1089,0.0515,0.0017,0,0.0037,0,0
"Mogotes","Santander","2308",0.8804,0.9229,0.746,0.9123,0.7781,0.4933,1.0243,1.0053,1.0433,1.0903,0.848,0.0123,0.0113,0.0069,0.0135,0.0305,0.9078,0,0.9387,0.8504,0.8969,0.0798,0,0.0544,0.1361,0.0725,0.0155,0.0113,0.0257,0.0081,0
"Molagavita","Santander","820",0.7037,0.8195,0.76,0.75,0.7076,0.5096,0.9061,1.02,0.8718,0.9834,0.7898,0.0137,0.0392,0.0074,0.0163,0.011,0.9332,0,0.9632,0.8816,0.967,0.0531,0,0.0294,0.102,0.022,0.0167,0,0.0184,0.0245,0
"Ocamonte","Santander","1141",0.8468,0.7073,0.4615,0.7607,0.6266,0.2775,0.7599,0.7912,0.8739,0.7903,0.4031,0.0179,0.0417,0.0098,0.0243,0.0143,0.9178,0,0.9291,0.875,0.9857,0.0644,0,0.0611,0.1007,0,0.0215,0,0.0196,0.0347,0
"Oiba","Santander","2101",0.7496,0.9862,0.441,0.84,0.9573,0.7005,1.1095,0.8323,0.9976,1.2755,1.1621,0.0285,0.0299,0.0212,0.0288,0.0442,0.9178,0,0.9575,0.8757,0.9061,0.0538,0,0.0212,0.0955,0.0497,0.009,0,0.0094,0.0127,0.0028
"Onzaga","Santander","785",0.5944,0.842,0.5439,0.8544,0.7091,0.4161,0.9146,0.8947,0.9905,0.9636,0.6496,0.0047,0,0.0032,0.009,0,0.9565,0,0.984,0.8959,1,0.0388,0,0.0128,0.095,0,0.0357,0.0784,0.0319,0.0181,0.0847
"Palmar","Santander","267",0.3685,0.9288,0.7895,0.7429,1.0421,0.375,0.9625,0.9474,0.8476,1.3368,0.4792,0.0117,0,0.0112,0.0157,0,0.7588,0,0.8876,0.6142,0.8696,0.2296,0,0.1011,0.3701,0.1304,0,0,0,0,0
"Palmas del Socorro","Santander","493",1.1127,0.9615,0.325,0.9903,0.8049,0.6024,1.069,0.675,1.1456,1.1463,0.9157,0.018,0.0741,0.0169,0.0058,0.0313,0.982,0,0.9831,0.9942,0.9688,0,0,0,0,0,0,0,0,0,0
"Páramo","Santander","945",0.8135,0.8815,0.4458,0.8438,0.8032,0.3871,1.0434,0.7229,0.9698,1.2839,0.9226,0.0471,0.0833,0.0104,0.0871,0.0426,0.8492,0,0.9325,0.7452,0.8085,0.1037,0,0.0571,0.1677,0.1489,0,0,0,0,0
"Piedecuesta","Santander","31625",1.0077,0.9543,0.7198,0.9594,0.846,0.4932,1.0488,0.961,1.0842,1.1339,0.8419,0.0262,0.0318,0.0186,0.0356,0.021,0.8971,0.0011,0.9462,0.8343,0.8738,0.0768,0.0011,0.0352,0.1301,0.1052,0.0135,0.0016,0.0083,0.0248,0.0044
"Pinchote","Santander","922",0.6291,0.7505,0.3803,0.7258,0.6899,0.454,0.8547,0.5634,0.8441,0.9494,0.8221,0.0097,0.025,0.0096,0.0113,0,0.91,0,0.9331,0.8722,0.9118,0.0803,0,0.0573,0.1165,0.0882,0.0111,0,0.0191,0.0038,0.0098
"Puente Nacional","Santander","2649",1.3092,1.1555,0.4171,0.8598,1.2555,0.8536,1.2763,0.7714,0.9758,1.5979,1.466,0.0171,0.0296,0.0119,0.0202,0.0152,0.9035,0,0.9465,0.8666,0.9074,0.0795,0,0.0416,0.1132,0.0774,0.0074,0,0.0059,0.0115,0.0017
"Puerto Parra","Santander","1798",0.7567,0.8543,0.4464,0.8445,0.6848,0.2463,0.9766,0.7083,1.0796,1.0963,0.5858,0.0254,0.042,0.0222,0.0306,0.0083,0.9301,0,0.9309,0.9101,0.9835,0.0445,0,0.0468,0.0593,0.0083,0,0,0,0,0
"Puerto Wilches","Santander","7753",1.0285,0.9671,0.5507,0.9653,0.7621,0.3503,1.1154,1.0358,1.3065,1.1093,0.6513,0.0322,0.0375,0.0191,0.0512,0.0329,0.873,0.0072,0.9109,0.7942,0.8655,0.0947,0.0072,0.07,0.1547,0.1016,0.0171,0.0014,0.0181,0.0223,0.0075
"Rionegro","Santander","5381",0.9488,0.9985,0.5354,0.9522,0.88,0.4869,1.0786,0.9159,1.1695,1.1563,0.7702,0.0468,0.0594,0.0396,0.0569,0.0375,0.8947,0,0.9105,0.8495,0.9396,0.0585,0,0.0499,0.0936,0.0228,0.0095,0.0025,0.0119,0.0093,0.0049
"Sabana de Torres","Santander","7644",1.9487,0.9417,0.6647,0.9305,0.777,0.3657,1.0599,0.9882,1.1833,1.0857,0.7035,0.0501,0.0547,0.0441,0.0617,0.035,0.8904,0.0034,0.8976,0.8518,0.9458,0.0595,0.0034,0.0583,0.0865,0.0192,0.0028,0.0017,0.0033,0.0027,0.0017
"San Andrés","Santander","1578",1.0798,0.9867,0.6033,0.9042,0.9057,0.5874,1.1413,0.8926,1.0139,1.3401,1.1599,0.022,0.037,0.0076,0.0267,0.0442,0.9062,0,0.9543,0.8531,0.8805,0.0717,0,0.0381,0.1202,0.0752,0.0157,0,0.0137,0.0217,0.0133
"San Benito","Santander","498",0.5293,0.8695,0.5385,0.8794,0.7126,0.5349,0.9739,1.1026,1.0352,0.977,0.7674,0.0244,0.0465,0.0194,0.0137,0.0536,0.969,0,0.9757,0.9863,0.9107,0.0067,0,0.0049,0,0.0357,0.0022,0,0.0049,0,0
